model_id,loss,sharpness
1.0,0.1234515979886055,14.9346342086792
1.0,0.1070273220539093,
1.0,0.1028999686241149,
1.0,0.1004256233572959,
1.0,0.0986006781458854,
1.0,0.097138799726963,
1.0,0.0959120616316795,
1.0,0.0948519930243492,
1.0,0.0939176753163337,
1.0,0.093082495033741,
1.0,0.0923281237483024,
1.0,0.0916411876678466,
1.0,0.0910116359591484,
1.0,0.0904316306114196,
1.0,0.0898948982357978,
1.0,0.0893963053822517,
1.0,0.0889316350221633,
1.0,0.0884972959756851,
1.0,0.0880902111530304,
1.0,0.0877077877521514,
1.0,0.0873477235436439,
1.0,0.0870080217719078,
1.0,0.0866869539022445,
1.0,0.0863829255104065,
1.0,0.0860945656895637,
1.0,0.0858206525444984,
1.0,0.0855600535869598,
1.0,0.0853117927908897,
1.0,0.0850749462842941,
1.0,0.0848487094044685,
1.0,0.0846323296427726,
1.0,0.0844251438975334,
1.0,0.0842265188694,
1.0,0.0840358957648277,
1.0,0.0838527530431747,
1.0,0.0836766213178634,
1.0,0.0835070684552192,
1.0,0.0833436697721481,
1.0,0.083186075091362,
1.0,0.0830339416861534,
1.0,0.0828869342803955,
1.0,0.0827447846531868,
1.0,0.082607202231884,
1.0,0.0824739411473274,
1.0,0.0823447629809379,
1.0,0.0822194516658783,
1.0,0.0820978134870529,
1.0,0.0819796249270439,
1.0,0.0818647518754005,
1.0,0.0817530080676078,16.910127639770508
1.0,0.0816442370414733,
1.0,0.0815382972359657,
1.0,0.0814350545406341,
1.0,0.0813343897461891,
1.0,0.0812361687421798,
1.0,0.081140287220478,
1.0,0.0810466483235359,
1.0,0.0809551402926445,
1.0,0.0808656811714172,
1.0,0.0807781741023063,
1.0,0.0806925371289253,
1.0,0.0806086957454681,
1.0,0.0805265828967094,
1.0,0.0804461240768432,
1.0,0.0803672447800636,
1.0,0.0802898928523063,
1.0,0.0802140086889267,
1.0,0.0801395401358604,
1.0,0.0800664201378822,
1.0,0.0799946188926696,
1.0,0.079924076795578,
1.0,0.079854741692543,
1.0,0.0797865912318229,
1.0,0.079719565808773,
1.0,0.0796536281704902,
1.0,0.0795887559652328,
1.0,0.0795248970389366,
1.0,0.0794620290398597,
1.0,0.0794001072645187,
